[Zone]  ID=ari_jasci_scoutcave1; dark=True; timeUntilNewDay=24; showFogOfWar=True; fogOfWar=True; minimapEnabled=False; allowCameraPastZoneEdges=False; cantAct=False; cantGameOver=False; alwaysKeepWeaponsUnsheathed=False; peaceful=False; overseerMode=False; rollingPinStyle=False; drawSky=False; drawSky_overrideYpos=-1; boatZone=False; wind=False; overworld=False; canDropItems=True; 
 travelSong=; travelSongVolume=1; travelSongPitch=0; combatSong=; combatSongVolume=1; combatSongPitch=0; combatSongDelay=0; 
darkR=50; darkG=55; darkB=55; 
 screenWaveFreq=0; screenDarkWaveFreq=0; screenWaveAmp=0.01; screenDarkWaveAmp=0.01; screenWaveSpeed=0.2; screenWaveAmp_reflect=0.0014; 
 bgTerrainTypeID=; bgFXID=ocean; bgFX_sineWave=0; darkenedTileTexture=darkenedTile; bgScale=1; bgParallaxRatio=1; bgMoveSpeedX=0; bgMoveSpeedY=0; 
paletteOverride=; zoneDirtPalette=pOil; zoneGrassPalette=pGreen; zoneGrassDarkPalette=pGreen2; zoneStonePalette=pGreyD; zoneStoneDarkPalette=pGreyD2; zoneStoneLightPalette=pGreyD; zoneWaterPalette=pBlue; zoneDirtDarkPalette=p2; zoneWoodPalette=pWood; zoneWoodDarkPalette=pWoodDark; zoneMisc1Palette=pWoodDark; zoneMisc2Palette=pWoodDark; zoneMisc3Palette=pRed; zoneMisc4Palette=pBlue; zoneMisc5Palette=pGreen; zoneMisc6Palette=pOrange; zoneMisc7Palette=pYellow; zoneMisc8Palette=pPurple; 

combatMode=False; 

[Item] ID=sunbeam_circle_small; q=1; x=0; y=1;
[Item] ID=sunbeam_circle_small; q=1; x=0; y=3;
[Item] ID=sunbeam_circle_small; q=1; x=0; y=5;
[Item] ID=sunbeam_circle_small; q=1; x=0; y=7;
[Item] ID=sunbeam_circle_small; q=1; x=0; y=9;
[Item] ID=sunbeam_circle_small; q=1; x=0; y=11;
[Item] ID=sunbeam_circle_big; q=1; x=0; y=18;
[Item] ID=sunbeam_circle_big; q=1; x=1; y=14;
[Item] ID=sunbeam_circle_big; q=1; x=1; y=18;
[Item] ID=sunbeam_circle_small; q=1; x=2; y=1;
[Item] ID=sunbeam_circle_small; q=1; x=2; y=3;
[Item] ID=sunbeam_circle_small; q=1; x=2; y=5;
[Item] ID=sunbeam_circle_small; q=1; x=2; y=7;
[Item] ID=sunbeam_circle_small; q=1; x=2; y=9;
[Item] ID=sunbeam_circle_small; q=1; x=2; y=11;
[Item] ID=sunbeam_circle_small; q=1; x=4; y=1;
[Item] ID=sunbeam_circle_small; q=1; x=4; y=3;
[Item] ID=sunbeam_circle_small; q=1; x=4; y=5;
[Item] ID=sunbeam_circle_small; q=1; x=4; y=7;
[Item] ID=sunbeam_circle_small; q=1; x=4; y=9;
[Item] ID=sunbeam_circle_small; q=1; x=4; y=11;
[Item] ID=sunbeam_circle_big; q=1; x=5; y=14;
[Item] ID=sunbeam_circle_big; q=1; x=5; y=18;
[Item] ID=sunbeam_circle_small; q=1; x=6; y=3;
[Item] ID=sunbeam_circle_small; q=1; x=6; y=5;
[Item] ID=sunbeam_circle_small; q=1; x=6; y=7;
[Item] ID=sunbeam_circle_small; q=1; x=6; y=9;
